intersection_id,longitude,latitude,net_x,net_y,nearest_edge,enter_edge,exit_edge,nearest_lane,dist_m,to_junction,candidates
I2715,172.6305907,-43.52441001,793.707,1834.52,235409006,235409006,139807681#1,235409006_0,0.64,cluster_31799513_7194237353_7194237372_7194237373_#3more,235409006:0.64m;235409006:1.23m;114648693#1:1.58m;-114648693#1:1.9m;114648688#1:2.31m;114648688#1:2.51m;-4830840#2:2.76m;139807681#1:2.76m
I2716,172.6305927,-43.52986245,781.996,1228.964,337504027#1,337504027#1,231161094#12,337504027#1_0,0.295,cluster_31064631_7159716383_7159716384_7159750385_#1more,337504027#1:0.3m;-337504027#1:0.52m;231161094#12:0.56m;231161094#12:0.71m;-1392244330#1:0.77m;-1392244330#1:0.77m;1392244330#1:0.77m;231161094#9:0.77m
I2718,172.6305951,-43.53094333,779.837,1108.917,32050428#0,32050428#0,231161094#9,32050428#0_0,0.094,cluster_10956603516_31063047_4679530937_7165144606_#1more,32050428#0:0.09m;231161094#6:0.81m;231161094#9:0.81m;1178029178#0:0.82m;231161094#6:0.82m;231161094#9:0.82m;-1392244330#1:115.41m;-337504027#1:118.46m
I2719,172.6306008,-43.5320425,777.904,986.833,4890809#0,4890809#0,231161094#6,4890809#0_0,0.058,cluster_31064664_7165144602_7165144603_7165144604_#1more,4890809#0:0.06m;-4890809#0:0.31m;231161094#6:0.67m;231161094#6:0.74m;-1064801546#1:0.75m;-1064801546#1:0.75m;1064801546#1:0.75m;231161094#3:0.75m
I2727,172.6306131,-43.53640576,769.396,502.225,1015728531#1,1015754936#0,139810525#1,1015728531#1_1,0.4,cluster_357819340_5242049150_7196771910_7196771912_#4more,1015728531#1:0.4m;1015728531#1:1.1m;116420557#1:1.88m;116420557#1:2.31m;1015728530#0:2.64m;1015728530#0:2.64m;1015728530#0:2.64m;770109405#0:2.64m
I2728,172.6306109,-43.53531525,771.593,623.341,32841811#1,139484433#1,231161093,32841811#1_0,0.021,cluster_31064473_4679530942_511969030,32841811#1:0.02m;32841811#1:0.13m;512130749#0:0.52m;512130749#0:0.59m;530436763#1:0.6m;1015728528#0:0.61m;1015728528#0:0.61m;1015728528#0:0.61m
I2731,172.6306073,-43.53995315,761.202,108.257,114501102#1,1015756826#0,777634273#1,114501102#1_0,0.194,cluster_1166224952_1166224966_1166225933_1166226029_#4more,114501102#1:0.19m;1069206897#0:0.32m;114501102#1:0.36m;1069206897#0:0.46m;114501102#1:0.57m;-1069206897#0:0.59m;1015754936#0:0.87m;1015754937#0:0.88m
I2754,172.6312196,-43.52658514,839.792,1591.952,1255161082#1,23146862#0,-207144254#0,1255161082#1_1,0.349,31064647,1255161082#1:0.35m;1255161082#1:2.72m;139633605:6.28m;139633605:6.28m;237357953#0:6.28m;237357953#0:6.28m;1255161079:34.37m;1255161079:34.37m
I2755,172.6311069,-43.52871594,826.044,1355.482,237357953#0,-337504030,1373281309,237357953#0_0,0.676,cluster_10931027728_13277203696,237357953#0:0.68m;237357953#0:1.39m;235758268#0:4.2m;-235758268#0:6.08m;517602199:11.4m;41647645#0:11.44m;41647645#0:11.44m;30859550:49.5m
I2814,172.6328549,-43.53094168,962.443,1105.517,1178029180#1,1056154535#0,1056154537#2,1178029180#1_1,0.312,cluster_13753630142_13753630143_13753630144_31800314_#4more,1178029180#1:0.31m;1178029180#1:1.12m;22779461#1:5.96m;22779461#1:5.96m;235758520:5.96m;1178029178#0:16.89m;-24721411:80.64m;231314596:80.64m
I2815,172.6328672,-43.53203957,961.043,983.565,147247814#1,-346180063#0,235373640,147247814#1_0,0.341,31064383,147247814#1:0.34m;147247814#1:0.78m;-1056154537#2:1.64m;-1056154537#2:1.81m;1056154537#2:1.94m;-1056154536#0:2.0m;1056154536#0:2.0m;1056154536#0:2.0m
I2832,172.6334767,-43.52986068,1015.045,1224.587,-114770267,1056154534#0,22779461#1,-114770267_0,0.425,cluster_31064373_6157670784_7165144613_7165144614_#1more,-114770267:0.43m;495607738#1:0.55m;22779461#1:0.71m;22779461#1:0.75m;-1056154534#0:0.76m;1056154534#0:0.76m;1056154534#0:0.76m;504917153#0:0.76m
I2836,172.6335897,-43.52087516,1043.776,2222.348,611456671#5,611456671#5,1255161074#0,611456671#5_1,0.098,cluster_31104858_31796226_6202656945_6202656946_#2more,611456671#5:0.1m;611456671#5:0.26m;611456671#5:0.61m;139810392#0:1.35m;139810392#0:1.73m;1255161074#0:2.64m;829459009#1:2.73m;1255161074#0:2.75m
