intersection_id,latitude,longitude,street_1,street_2,street_3,street_4,RoadIntersectionID,X,Y,IntersectionName
I3320,-43.53529127,172.64568641,Barbadoes,Tuam,,,4377,1571372.4359,5179678.258,Barbadoes Street / Tuam Street
I3322,-43.53638445,172.64568811,Barbadoes,St Asaph,,,4378,1571373.0898,5179556.8512,Barbadoes Street / St Asaph Street
I3323,-43.53708582,172.64569709,Barbadoes,Ferry,,,4379,1571374.1471,5179478.9605,Ferry Road / Barbadoes Street
I3325,-43.53993121,172.64569558,Barbadoes,Moorhouse,Waltham,,4381,1571375.3717,5179162.9539,Barbadoes Street / Moorhouse Avenue / Waltham Road
I3457,-43.52655916,172.64426971,Kilmore,Oxford,,,4313,1571253.8229,5180647.546,Oxford Terrace / Kilmore Street
I3457,-43.52655463,172.64992444,Kilmore,Oxford,,,4523,1571710.7737,5180649.9882,Oxford Terrace / Kilmore Street
I3475,-43.52084970,172.65050074,Bealey,Fitzgerald,London,Whitmore,4550,1571754.6822,5181283.7653,Bealey Avenue / Fitzgerald Avenue / London Street / Whitmore Street
I3484,-43.52657032,172.65055641,Avonside,Fitzgerald,Kilmore,,4562,1571761.8498,5180648.4601,Avonside Drive / Fitzgerald Avenue / Kilmore Street
I3485,-43.52983131,172.65052954,Fitzgerald,Gloucester,,,4557,1571761.2004,5180286.289,Gloucester Street / Fitzgerald Avenue
I3486,-43.53092350,172.65053804,Fitzgerald,Worcester,,,4563,1571762.396,5180164.9951,Worcester Street / Fitzgerald Avenue
I3488,-43.53310929,172.65055380,Cashel,Fitzgerald,,,4566,1571764.6897,5179922.2495,Cashel Street / Fitzgerald Avenue
I3489,-43.53202446,172.65054650,Fitzgerald,Hereford,,,4564,1571763.5933,5180042.7264,Hereford Street / Fitzgerald Avenue
I3490,-43.53420509,172.65056253,Fitzgerald,Lichfield,,,4570,1571765.9066,5179800.554,Fitzgerald Avenue / Lichfield Street
I3492,-43.53528340,172.65054542,Fitzgerald,Tuam,,,4567,1571765.0269,5179680.7923,Tuam Street / Fitzgerald Avenue
I3492,-43.53547593,172.65054702,Fitzgerald,Tuam,,,4569,1571765.2457,5179659.4111,Tuam Street / Fitzgerald Avenue
I3494,-43.53827977,172.65056118,Ferry,Fitzgerald,,,4576,1571767.6979,5179348.024,Ferry Road / Fitzgerald Avenue
I3497,-43.53638569,172.65055456,Fitzgerald,St Asaph,,,4571,1571766.2796,5179558.3769,St Asaph Street / Fitzgerald Avenue
I3502,-43.53991556,172.65056897,Falsgrave,Fitzgerald,Moorhouse,,4578,1571769.0905,5179166.3579,Moorhouse Avenue / Fitzgerald Avenue / Falsgrave Street
