flow_id,example_vehicle_id,edge_count,from_edge,to_edge,sumo_edges
I3239_I3171_inf_36_16_30_Thru_bus,I3239_I3171_inf_36_16_30_Thru_bus.0,54,235547876#0,821111101,235547876#0 114770261 902156794#1 -392044387#1 -406753472#2 -406753472#1 -463039420#0 124842990#1 124842990#2 651950549#0 494827032#2 993555375#2 1409575693#0 1409575693#1 993555374#0 830501798#1 830501798#2 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 902156803 116344257#1 1018636799#0 1248691233#2 1017759607#0 821111101
I3239_I3171_inf_36_16_45_Thru_bus,I3239_I3171_inf_36_16_45_Thru_bus.0,54,235547876#0,821111101,235547876#0 114770261 902156794#1 -392044387#1 -406753472#2 -406753472#1 -463039420#0 124842990#1 124842990#2 651950549#0 494827032#2 993555375#2 1409575693#0 1409575693#1 993555374#0 830501798#1 830501798#2 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 902156803 116344257#1 1018636799#0 1248691233#2 1017759607#0 821111101
I3239_I3171_inf_36_17_00_Thru_bus,I3239_I3171_inf_36_17_00_Thru_bus.0,54,235547876#0,821111101,235547876#0 114770261 902156794#1 -392044387#1 -406753472#2 -406753472#1 -463039420#0 124842990#1 124842990#2 651950549#0 494827032#2 993555375#2 1409575693#0 1409575693#1 993555374#0 830501798#1 830501798#2 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 902156803 116344257#1 1018636799#0 1248691233#2 1017759607#0 821111101
I3239_I3171_inf_36_17_15_Thru_bus,I3239_I3171_inf_36_17_15_Thru_bus.0,54,235547876#0,821111101,235547876#0 114770261 902156794#1 -392044387#1 -406753472#2 -406753472#1 -463039420#0 124842990#1 124842990#2 651950549#0 494827032#2 993555375#2 1409575693#0 1409575693#1 993555374#0 830501798#1 830501798#2 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 902156803 116344257#1 1018636799#0 1248691233#2 1017759607#0 821111101
I3239_I3171_inf_36_17_30_Thru_bus,I3239_I3171_inf_36_17_30_Thru_bus.0,54,235547876#0,821111101,235547876#0 114770261 902156794#1 -392044387#1 -406753472#2 -406753472#1 -463039420#0 124842990#1 124842990#2 651950549#0 494827032#2 993555375#2 1409575693#0 1409575693#1 993555374#0 830501798#1 830501798#2 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 902156803 116344257#1 1018636799#0 1248691233#2 1017759607#0 821111101
I3239_I3171_inf_36_17_45_Thru_bus,I3239_I3171_inf_36_17_45_Thru_bus.0,54,235547876#0,821111101,235547876#0 114770261 902156794#1 -392044387#1 -406753472#2 -406753472#1 -463039420#0 124842990#1 124842990#2 651950549#0 494827032#2 993555375#2 1409575693#0 1409575693#1 993555374#0 830501798#1 830501798#2 683819894#0 1395896891#1 987155148#1 1395896894#0 1395896894#1 1395896894#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 902156803 116344257#1 1018636799#0 1248691233#2 1017759607#0 821111101
I3320_I3322_inf_4_07_15_Thru_bus,I3320_I3322_inf_4_07_15_Thru_bus.0,46,1076470475,139811056#1,1076470475 1018636798#0 1248691231#2 902156801#1 902156786#1 26600479#0 335813776#3 823329197#0 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 1235089650 335813776#3 823329197#0 770109403#2 114915928 1018478675#0 1018478675#1 103086818 182824587#0 182824587#1 139811056#1
I3320_I3322_inf_4_07_45_Thru_bus,I3320_I3322_inf_4_07_45_Thru_bus.0,46,1076470475,139811056#1,1076470475 1018636798#0 1248691231#2 902156801#1 902156786#1 26600479#0 335813776#3 823329197#0 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 1235089650 335813776#3 823329197#0 770109403#2 114915928 1018478675#0 1018478675#1 103086818 182824587#0 182824587#1 139811056#1
I3320_I3322_inf_4_08_30_Thru_bus,I3320_I3322_inf_4_08_30_Thru_bus.0,46,1076470475,139811056#1,1076470475 1018636798#0 1248691231#2 902156801#1 902156786#1 26600479#0 335813776#3 823329197#0 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 1235089650 335813776#3 823329197#0 770109403#2 114915928 1018478675#0 1018478675#1 103086818 182824587#0 182824587#1 139811056#1
I3320_I3322_inf_4_13_30_Thru_bus,I3320_I3322_inf_4_13_30_Thru_bus.0,46,1076470475,139811056#1,1076470475 1018636798#0 1248691231#2 902156801#1 902156786#1 26600479#0 335813776#3 823329197#0 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 1235089650 335813776#3 823329197#0 770109403#2 114915928 1018478675#0 1018478675#1 103086818 182824587#0 182824587#1 139811056#1
I3322_I3320__4_07_45_Thru_bus,I3322_I3320__4_07_45_Thru_bus.0,49,-23245263,139811056#1,-23245263 23245254#0 597576944#1 829392052 1018636800#0 1248691231#2 902156801#1 902156786#1 26600479#0 335813776#3 823329197#0 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 1235089650 335813776#3 823329197#0 770109403#2 114915928 1018478675#0 1018478675#1 103086818 182824587#0 182824587#1 139811056#1
I3322_I3320__4_08_00_Thru_bus,I3322_I3320__4_08_00_Thru_bus.0,49,-23245263,139811056#1,-23245263 23245254#0 597576944#1 829392052 1018636800#0 1248691231#2 902156801#1 902156786#1 26600479#0 335813776#3 823329197#0 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 1235089650 335813776#3 823329197#0 770109403#2 114915928 1018478675#0 1018478675#1 103086818 182824587#0 182824587#1 139811056#1
I3322_I3320__4_08_15_Thru_bus,I3322_I3320__4_08_15_Thru_bus.0,49,-23245263,139811056#1,-23245263 23245254#0 597576944#1 829392052 1018636800#0 1248691231#2 902156801#1 902156786#1 26600479#0 335813776#3 823329197#0 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 1235089650 335813776#3 823329197#0 770109403#2 114915928 1018478675#0 1018478675#1 103086818 182824587#0 182824587#1 139811056#1
I3322_I3320__4_08_30_Thru_bus,I3322_I3320__4_08_30_Thru_bus.0,49,-23245263,139811056#1,-23245263 23245254#0 597576944#1 829392052 1018636800#0 1248691231#2 902156801#1 902156786#1 26600479#0 335813776#3 823329197#0 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 1235089650 335813776#3 823329197#0 770109403#2 114915928 1018478675#0 1018478675#1 103086818 182824587#0 182824587#1 139811056#1
I3322_I3320__4_13_45_Thru_bus,I3322_I3320__4_13_45_Thru_bus.0,49,-23245263,139811056#1,-23245263 23245254#0 597576944#1 829392052 1018636800#0 1248691231#2 902156801#1 902156786#1 26600479#0 335813776#3 823329197#0 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 1235089650 335813776#3 823329197#0 770109403#2 114915928 1018478675#0 1018478675#1 103086818 182824587#0 182824587#1 139811056#1
I3322_I3320__4_16_45_Thru_bus,I3322_I3320__4_16_45_Thru_bus.0,49,-23245263,139811056#1,-23245263 23245254#0 597576944#1 829392052 1018636800#0 1248691231#2 902156801#1 902156786#1 26600479#0 335813776#3 823329197#0 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 1235089650 335813776#3 823329197#0 770109403#2 114915928 1018478675#0 1018478675#1 103086818 182824587#0 182824587#1 139811056#1
I3322_I3320__4_17_00_Thru_bus,I3322_I3320__4_17_00_Thru_bus.0,49,-23245263,139811056#1,-23245263 23245254#0 597576944#1 829392052 1018636800#0 1248691231#2 902156801#1 902156786#1 26600479#0 335813776#3 823329197#0 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 1235089650 335813776#3 823329197#0 770109403#2 114915928 1018478675#0 1018478675#1 103086818 182824587#0 182824587#1 139811056#1
